"recorded_timestamp";"lon";"lat";"altitude";"speed";"orientation"
"2025-03-05 11:39:51.520";"22.96751";"40.6590083333333";"18.1";"24";"32"
"2025-03-05 11:39:51.543";"22.9054366666667";"40.653305";"5.2";"0";"289"
"2025-03-05 11:39:51.550";"22.9287116666667";"40.4337533333333";"9.5";"0";"26"
"2025-03-05 11:39:51.593";"23.0228433333333";"40.587305";"29.3";"37";"165"
"2025-03-05 11:39:51.607";"22.9822966666667";"40.5840466666667";"7.6";"41";"156"
"2025-03-05 11:39:51.610";"22.955595";"40.6298";"2.9";"36";"124"
"2025-03-05 11:39:51.617";"22.9471416666667";"40.6315416666667";"1.5";"0";"141"
"2025-03-05 11:39:51.640";"22.91438";"40.6506216666667";"5.8";"36";"301"
"2025-03-05 11:39:51.680";"22.9499416666667";"40.625585";"5.2";"54";"135"
"2025-03-05 11:39:51.683";"23.0327983333333";"40.5916633333333";"37.6";"32";"291"
"2025-03-05 11:39:51.737";"22.9638433333333";"40.5996616666667";"6";"0";"83"
"2025-03-05 11:39:51.737";"22.949935";"40.6328366666667";"6.1";"31";"124"
"2025-03-05 11:39:51.813";"22.9570133333333";"40.5730866666667";"5.9";"27";"123"
"2025-03-05 11:39:51.830";"22.9424083333333";"40.6308";"4.5";"44";"127"
"2025-03-05 11:39:51.867";"22.9277666666667";"40.6572633333333";"7.8";"0";"109"
"2025-03-05 11:39:51.870";"22.9630883333333";"40.61303";"8.199999999999999";"0";"128"
"2025-03-05 11:39:51.897";"22.9853666666667";"40.548075";"5.6";"0";"212"
"2025-03-05 11:39:51.950";"22.943925";"40.63126";"6.6";"0";"118"
"2025-03-05 11:39:51.960";"22.9772983333333";"40.52615";"0";"0";"278"
"2025-03-05 11:39:51.980";"22.9984866666667";"40.6126966666667";"17.7";"69";"314"
"2025-03-05 11:39:51.993";"22.93852";"40.64206";"3";"0";"45"
"2025-03-05 11:39:52.027";"22.9699533333333";"40.6091466666667";"4.6";"0";"247"
"2025-03-05 11:39:52.033";"22.9431433333333";"40.6444016666667";"9";"32";"31"
"2025-03-05 11:39:52.033";"22.9785";"40.5829666666667";"11.4";"85";"234"
"2025-03-05 11:39:52.037";"22.926755";"40.5065516666667";"4.8";"0";"253"
"2025-03-05 11:39:52.043";"22.9388283333333";"40.6365416666667";"5.7";"20";"140"
"2025-03-05 11:39:52.050";"22.9615883333333";"40.67606";"15.2";"19";"347"
"2025-03-05 11:39:52.067";"22.9854066666667";"40.611655";"9.5";"9";"283"
"2025-03-05 11:39:52.067";"22.9464416666667";"40.6403116666667";"10.4";"36";"301"
"2025-03-05 11:39:52.080";"22.9977033333333";"40.6004616666667";"12.4";"92";"197"
"2025-03-05 11:39:52.090";"22.9770616666667";"40.5260433333333";"4.4";"0";"43"
"2025-03-05 11:39:52.190";"22.9699283333333";"40.59304";"8.1";"0";"263"
"2025-03-05 11:39:52.207";"22.9634";"40.613955";"3.9";"0";"343"
"2025-03-05 11:39:52.210";"22.8893833333333";"40.4668466666667";"17.1";"21";"252"
"2025-03-05 11:39:52.240";"22.9588333333333";"40.5840033333333";"8.300000000000001";"35";"106"
"2025-03-05 11:39:52.243";"22.95947";"40.639715";"15.3";"0";"303"
"2025-03-05 11:39:52.247";"22.9927033333333";"40.5604916666667";"7.9";"113";"326"
"2025-03-05 11:39:52.250";"22.94811";"40.6281516666667";"3.1";"0";"148"
"2025-03-05 11:39:52.277";"22.9631716666667";"40.5857366666667";"5.8";"29";"330"
"2025-03-05 11:39:52.290";"22.9331133333333";"40.6398783333333";"2.1";"23";"78"
"2025-03-05 11:39:52.293";"22.9707116666667";"40.61098";"5.5";"23";"338"
"2025-03-05 11:39:52.327";"22.9356766666667";"40.6403966666667";"1.4";"0";"306"
"2025-03-05 11:39:52.343";"22.935395";"40.6499633333333";"7.8";"34";"178"
"2025-03-05 11:39:52.357";"22.9937666666667";"40.5326033333333";"5.2";"0";"68"
"2025-03-05 11:39:52.367";"22.9869916666667";"40.5290066666667";"1";"76";"240"
"2025-03-05 11:39:52.467";"22.9477183333333";"40.66313";"9.9";"27";"223"
"2025-03-05 11:39:52.517";"22.9520733333333";"40.5983333333333";"6.2";"35";"163"
"2025-03-05 11:39:52.540";"22.9784383333333";"40.5954816666667";"10.1";"0";"242"
"2025-03-05 11:39:52.577";"22.9678166666667";"40.66248";"19.2";"50";"336"
"2025-03-05 11:39:52.593";"22.992635";"40.5319666666667";"5.4";"35";"50"
"2025-03-05 11:39:52.597";"22.9401833333333";"40.6339483333333";"4.8";"31";"278"
"2025-03-05 11:39:52.623";"22.9047333333333";"40.6534833333333";"2.1";"0";"304"
"2025-03-05 11:39:52.640";"22.9529316666667";"40.6069816666667";"0";"0";"156"
"2025-03-05 11:39:52.650";"22.9858883333333";"40.5482833333333";"5.8";"0";"320"
"2025-03-05 11:39:52.693";"22.95377";"40.59455";"5.8";"21";"173"
"2025-03-05 11:39:52.710";"22.9095683333333";"40.6522766666667";"5";"0";"0"
"2025-03-05 11:39:52.733";"22.953425";"40.607025";"1.8";"0";"47"
"2025-03-05 11:39:52.740";"22.958165";"40.477265";"13.8";"22";"95"
"2025-03-05 11:39:52.747";"22.9250683333333";"40.666305";"9";"43";"93"
"2025-03-05 11:39:52.753";"22.9573083333333";"40.5923666666667";"4.2";"45";"330"
"2025-03-05 11:39:52.770";"22.9681366666667";"40.57927";"6.2";"49";"322"
"2025-03-05 11:39:52.783";"22.8975216666667";"40.6627366666667";"2.4";"64";"312"
"2025-03-05 11:39:52.803";"22.9705016666667";"40.6061533333333";"9.1";"3";"67"
"2025-03-05 11:39:52.817";"22.9439466666667";"40.6322516666667";"2";"32";"309"
"2025-03-05 11:39:52.873";"22.9803783333333";"40.5771266666667";"9.4";"47";"330"
"2025-03-05 11:39:52.907";"22.9577233333333";"40.6114983333333";"5.7";"26";"160"
"2025-03-05 11:39:52.917";"22.94837";"40.5863383333333";"7.1";"0";"0"
"2025-03-05 11:39:52.963";"23.0045266666667";"40.5388783333333";"6.6";"59";"83"
"2025-03-05 11:39:52.967";"22.94837";"40.5863383333333";"7.1";"0";"56"
"2025-03-05 11:39:52.983";"22.9266916666667";"40.5064816666667";"6.2";"1";"252"
"2025-03-05 11:39:53.000";"22.9579633333333";"40.5914733333333";"6.8";"41";"325"
"2025-03-05 11:39:53.010";"22.97136";"40.5993683333333";"7.6";"0";"72"
"2025-03-05 11:39:53.053";"22.952785";"40.6160133333333";"1.9";"41";"188"
"2025-03-05 11:39:53.057";"22.992295";"40.556605";"8";"0";"7"
"2025-03-05 11:39:53.070";"23.018915";"40.6362";"49.3";"26";"331"
"2025-03-05 11:39:53.077";"22.9331483333333";"40.640865";"4.9";"20";"222"
"2025-03-05 11:39:53.130";"22.9391933333333";"40.63576";"5.8";"2";"215"
"2025-03-05 11:39:53.160";"22.9392816666667";"40.6426333333333";"7.2";"44";"123"
"2025-03-05 11:39:53.167";"22.9129883333333";"40.6570983333333";"2.6";"0";"139"
"2025-03-05 11:39:53.173";"22.9630116666667";"40.6131966666667";"9.4";"0";"262"
"2025-03-05 11:39:53.177";"22.9389883333333";"40.676555";"6.3";"0";"4"
"2025-03-05 11:39:53.193";"22.95476";"40.58711";"7.3";"34";"135"
"2025-03-05 11:39:53.223";"22.9319883333333";"40.6398566666667";"6.1";"0";"264"
"2025-03-05 11:39:53.257";"22.9962016666667";"40.5995066666667";"16.6";"49";"292"
"2025-03-05 11:39:53.273";"22.9701716666667";"40.600435";"8.699999999999999";"24";"347"
"2025-03-05 11:39:53.320";"22.9681416666667";"40.6607683333333";"21";"41";"174"
"2025-03-05 11:39:53.343";"22.954225";"40.6211883333333";"6.1";"0";"353"
"2025-03-05 11:39:53.393";"22.9039316666667";"40.6535866666667";"2.2";"0";"284"
"2025-03-05 11:39:53.423";"22.9616716666667";"40.6243133333333";"7.3";"61";"328"
"2025-03-05 11:39:53.447";"22.9545333333333";"40.61772";"1.4";"8";"77"
"2025-03-05 11:39:53.463";"22.9354516666667";"40.6610133333333";"4.9";"57";"190"
"2025-03-05 11:39:53.477";"22.90793";"40.6620583333333";"5.8";"0";"36"
"2025-03-05 11:39:53.493";"22.9893616666667";"40.60436";"7.3";"21";"329"
"2025-03-05 11:39:53.570";"22.9748466666667";"40.6156533333333";"11.1";"25";"115"
"2025-03-05 11:39:53.603";"22.94724";"40.6808183333333";"11.3";"31";"66"
"2025-03-05 11:39:53.627";"22.9268316666667";"40.5065166666667";"5.8";"0";"272"
"2025-03-05 11:39:53.630";"22.960565";"40.6264116666667";"7.7";"8";"244"
"2025-03-05 11:39:53.633";"22.9531816666667";"40.6029533333333";"6";"37";"343"
