"Link_id";"Link_Direction";"Timestamp";"Speed";"UniqueEntries"
"14301106";"1";"2025-02-10 12:15:00.000";"26";"1"
"14301500";"1";"2025-02-10 11:45:00.000";"16";"1"
"14301548";"1";"2025-02-10 12:15:00.000";"24";"1"
"14301626";"1";"2025-02-10 12:30:00.000";"3";"1"
"14301667";"2";"2025-02-10 12:30:00.000";"6";"1"
"14301746";"1";"2025-02-10 12:30:00.000";"2";"1"
"14301805";"1";"2025-02-10 09:00:00.000";"36";"1"
"14301857";"1";"2025-02-10 09:45:00.000";"4";"1"
"14302121";"1";"2025-02-10 12:30:00.000";"24";"1"
"14302366";"1";"2025-02-10 09:00:00.000";"21";"1"
"14302366";"2";"2025-02-10 11:30:00.000";"30";"1"
"14302441";"1";"2025-02-10 12:30:00.000";"41";"1"
"14302490";"1";"2025-02-10 12:30:00.000";"12";"2"
"14305482";"1";"2025-02-10 07:15:00.000";"15";"1"
"14305613";"1";"2025-02-09 23:45:00.000";"13";"1"
"14313197";"1";"2025-02-10 11:45:00.000";"80";"1"
"14313206";"1";"2025-02-10 11:45:00.000";"78";"1"
"14315859";"2";"2025-02-10 07:30:00.000";"52";"1"
"14318811";"2";"2025-02-10 10:00:00.000";"34";"1"
"14324217";"1";"2025-02-10 12:30:00.000";"77";"1"
"14324654";"1";"2025-02-09 20:15:00.000";"58";"1"
"14325207";"1";"2025-02-10 11:00:00.000";"52";"1"
"14325233";"1";"2025-02-10 11:00:00.000";"67";"1"
"14337884";"1";"2025-02-10 02:30:00.000";"47";"1"
"14338255";"1";"2025-02-10 12:15:00.000";"63";"1"
"14338944";"1";"2025-02-10 08:15:00.000";"42";"1"
"14338944";"2";"2025-02-10 11:45:00.000";"38";"1"
"14339139";"1";"2025-02-10 12:00:00.000";"46";"1"
"14339139";"2";"2025-02-10 12:00:00.000";"47";"1"
"14339147";"1";"2025-02-10 12:30:00.000";"82";"4"
"14339182";"1";"2025-02-10 12:30:00.000";"70";"3"
"14339401";"1";"2025-02-10 12:30:00.000";"87";"1"
"14339410";"1";"2025-02-10 12:30:00.000";"29";"4"
"14339433";"1";"2025-02-10 12:30:00.000";"54";"2"
"14339485";"1";"2025-02-10 12:30:00.000";"83";"2"
"14339502";"1";"2025-02-10 12:30:00.000";"72";"4"
"14339504";"1";"2025-02-10 12:30:00.000";"76";"4"
"14339512";"1";"2025-02-10 12:30:00.000";"87";"1"
"14339661";"1";"2025-02-10 12:30:00.000";"63";"5"
"14341840";"1";"2025-02-10 09:45:00.000";"58";"1"
"14341855";"1";"2025-02-10 12:15:00.000";"59";"1"
"14341869";"1";"2025-02-10 09:45:00.000";"92";"1"
"14341870";"1";"2025-02-10 09:45:00.000";"59";"1"
"14341937";"1";"2025-02-10 09:45:00.000";"103";"1"
"14342395";"1";"2025-02-10 12:00:00.000";"84";"1"
"14342396";"1";"2025-02-10 10:00:00.000";"82";"1"
"14342606";"1";"2025-02-10 12:30:00.000";"68";"1"
"14342611";"1";"2025-02-10 11:45:00.000";"82";"1"
"14342645";"1";"2025-02-10 12:30:00.000";"104";"1"
"14342655";"1";"2025-02-10 11:45:00.000";"107";"1"
"14342656";"1";"2025-02-09 18:15:00.000";"90";"1"
"14342709";"1";"2025-02-10 11:45:00.000";"112";"1"
"14342740";"1";"2025-02-10 12:00:00.000";"106";"1"
"14342770";"1";"2025-02-10 11:45:00.000";"97";"1"
"14342775";"1";"2025-02-10 11:45:00.000";"100";"1"
"14342787";"1";"2025-02-10 12:30:00.000";"96";"1"
"14342886";"1";"2025-02-09 22:30:00.000";"74";"1"
"14342900";"1";"2025-02-10 10:30:00.000";"88";"1"
"14342952";"1";"2025-02-10 10:00:00.000";"83";"1"
"14342990";"1";"2025-02-10 08:00:00.000";"75";"1"
"14378472";"1";"2025-02-10 12:30:00.000";"29";"1"
"14378651";"1";"2025-02-10 12:15:00.000";"66";"1"
"14378652";"2";"2025-02-10 12:30:00.000";"73";"4"
"14406488";"1";"2025-02-10 10:45:00.000";"43";"1"
"14406488";"2";"2025-02-10 11:15:00.000";"44";"1"
"14406656";"2";"2025-02-10 10:15:00.000";"59";"1"
"14406665";"2";"2025-02-10 10:15:00.000";"57";"1"
"14406949";"1";"2025-02-10 12:30:00.000";"92";"1"
"14406987";"1";"2025-02-10 09:45:00.000";"70";"1"
"14406996";"1";"2025-02-10 09:45:00.000";"77";"1"
"14407394";"1";"2025-02-10 11:30:00.000";"76";"1"
"14407399";"1";"2025-02-09 22:00:00.000";"79";"1"
"14407436";"1";"2025-02-10 01:00:00.000";"83";"1"
"14407439";"1";"2025-02-10 12:30:00.000";"76";"1"
"14407750";"1";"2025-02-10 08:45:00.000";"85";"1"
"14407960";"1";"2025-02-09 15:00:00.000";"28";"1"
"14407999";"1";"2025-02-10 08:45:00.000";"82";"1"
"14408007";"1";"2025-02-10 11:15:00.000";"92";"1"
"14408441";"1";"2025-02-10 11:45:00.000";"90";"1"
"14408489";"1";"2025-02-10 12:30:00.000";"55";"1"
"14408494";"1";"2025-02-10 11:45:00.000";"114";"1"
"14409138";"1";"2025-02-10 00:45:00.000";"85";"1"
"14409319";"1";"2025-02-10 03:15:00.000";"99";"1"
"14409348";"1";"2025-02-10 00:45:00.000";"105";"1"
"14409430";"1";"2025-02-10 11:45:00.000";"108";"1"
"14409438";"1";"2025-02-10 11:45:00.000";"106";"1"
"14409446";"1";"2025-02-10 03:15:00.000";"117";"1"
"14409590";"1";"2025-02-10 00:45:00.000";"107";"1"
"14409597";"1";"2025-02-10 11:45:00.000";"109";"1"
"14409605";"1";"2025-02-10 03:15:00.000";"114";"1"
"14409606";"1";"2025-02-10 03:15:00.000";"95";"1"
"14410061";"1";"2025-02-09 20:00:00.000";"106";"1"
"14410063";"1";"2025-02-10 03:15:00.000";"111";"1"
"14410074";"1";"2025-02-10 12:00:00.000";"115";"1"
"14410140";"1";"2025-02-10 03:15:00.000";"107";"1"
"14410227";"1";"2025-02-10 11:45:00.000";"112";"1"
"14410233";"1";"2025-02-10 03:15:00.000";"102";"1"
"14410239";"1";"2025-02-09 20:00:00.000";"93";"1"
"14410312";"1";"2025-02-10 11:45:00.000";"108";"1"
"14410320";"1";"2025-02-10 09:00:00.000";"69";"1"
"14410332";"1";"2025-02-10 03:15:00.000";"101";"1"
"14427904";"2";"2025-02-10 12:30:00.000";"52";"1"
"14427954";"1";"2025-02-10 02:15:00.000";"68";"1"
"14428028";"1";"2025-02-10 11:45:00.000";"107";"1"
"14429725";"1";"2025-02-09 13:30:00.000";"31";"1"
"14429918";"1";"2025-02-10 12:30:00.000";"24";"1"
"14437279";"1";"2025-02-10 12:30:00.000";"37";"1"
"14437279";"2";"2025-02-10 11:45:00.000";"43";"1"
"14437826";"1";"2025-02-10 12:30:00.000";"34";"6"
"14437889";"1";"2025-02-10 12:30:00.000";"62";"5"
"14437894";"1";"2025-02-10 11:30:00.000";"61";"1"
"14437901";"1";"2025-02-10 12:30:00.000";"74";"4"
"14437917";"1";"2025-02-10 12:30:00.000";"69";"6"
"14437962";"1";"2025-02-10 12:30:00.000";"56";"2"
"14437967";"1";"2025-02-10 12:30:00.000";"53";"4"
"14437981";"1";"2025-02-09 13:45:00.000";"22";"1"
"14438000";"1";"2025-02-10 12:30:00.000";"57";"1"
"14438058";"1";"2025-02-10 12:30:00.000";"71";"9"
"14438066";"1";"2025-02-10 12:30:00.000";"66";"7"
"14438096";"1";"2025-02-10 12:30:00.000";"58";"1"
"14438102";"1";"2025-02-10 12:30:00.000";"32";"1"
"14438127";"1";"2025-02-10 12:30:00.000";"44";"1"
"14438127";"2";"2025-02-09 16:45:00.000";"46";"1"
"14438184";"1";"2025-02-10 12:00:00.000";"64";"1"
"14438186";"1";"2025-02-10 12:30:00.000";"63";"7"
"14438255";"1";"2025-02-10 12:00:00.000";"65";"1"
"14438352";"1";"2025-02-10 12:30:00.000";"78";"1"
"14438365";"1";"2025-02-10 12:15:00.000";"69";"1"
"14438451";"1";"2025-02-10 12:30:00.000";"26";"1"
"14438452";"1";"2025-02-10 12:30:00.000";"101";"5"
"14516195";"1";"2025-02-09 22:00:00.000";"22";"1"
"14516195";"2";"2025-02-09 22:00:00.000";"20";"1"
"14516234";"1";"2025-02-10 00:00:00.000";"21";"1"
"14516234";"2";"2025-02-09 14:00:00.000";"14";"1"
"14516814";"1";"2025-02-10 00:15:00.000";"18";"1"
"14516895";"1";"2025-02-10 12:15:00.000";"28";"1"
"14517137";"1";"2025-02-10 12:15:00.000";"21";"1"
"14595731";"2";"2025-02-09 13:45:00.000";"71";"1"
"14596132";"1";"2025-02-09 13:45:00.000";"50";"1"
"14596251";"1";"2025-02-09 13:45:00.000";"58";"1"
"14596593";"1";"2025-02-10 07:15:00.000";"78";"1"
"14736428";"1";"2025-02-09 13:30:00.000";"44";"1"
"14736428";"2";"2025-02-09 16:00:00.000";"47";"1"
"14740869";"1";"2025-02-10 09:00:00.000";"51";"1"
"14741229";"1";"2025-02-10 08:45:00.000";"44";"1"
"14743066";"1";"2025-02-10 12:00:00.000";"31";"1"
"14743162";"1";"2025-02-09 19:45:00.000";"40";"1"
"14743222";"1";"2025-02-10 12:00:00.000";"57";"1"
"14743222";"2";"2025-02-10 12:15:00.000";"60";"1"
"14743327";"1";"2025-02-10 11:15:00.000";"72";"1"
"14751179";"2";"2025-02-09 15:45:00.000";"57";"1"
"14751527";"2";"2025-02-10 08:30:00.000";"21";"1"
"14752717";"1";"2025-02-09 13:30:00.000";"30";"1"
"14756023";"1";"2025-02-10 10:30:00.000";"53";"1"
"14756023";"2";"2025-02-10 10:00:00.000";"52";"1"
"14765766";"1";"2025-02-10 07:15:00.000";"106";"1"
"14773230";"1";"2025-02-10 12:30:00.000";"10";"1"
"14781305";"1";"2025-02-10 12:30:00.000";"42";"9"
"14781932";"1";"2025-02-10 12:30:00.000";"26";"4"
"14782349";"1";"2025-02-10 12:30:00.000";"23";"6"
"14782480";"1";"2025-02-10 09:00:00.000";"16";"1"
"14783001";"1";"2025-02-10 12:15:00.000";"22";"1"
"14783090";"1";"2025-02-10 12:30:00.000";"30";"7"
"14783245";"1";"2025-02-10 12:30:00.000";"18";"1"
"14783561";"1";"2025-02-10 12:30:00.000";"18";"3"
"14784002";"1";"2025-02-10 12:30:00.000";"37";"1"
"14784185";"1";"2025-02-10 12:30:00.000";"16";"5"
"14784363";"1";"2025-02-10 12:15:00.000";"16";"1"
"14785866";"1";"2025-02-10 12:15:00.000";"24";"1"
"14785963";"1";"2025-02-10 12:30:00.000";"14";"1"
"14786207";"1";"2025-02-10 12:30:00.000";"25";"1"
